Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,true,"Vocational/professional clubs;
Attended a Campus Event",Very confident,Very confident,I have made some friends and connections.,Not well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","Less classes beginning at 2 and ending at 3:50. For commuters, leaving at 4 is basically rush hour, so having to go home as soon as class is over so you aren't stuck in standstill traffic is inconvenient. More classes, I think, should start at 1 and end at 2:50.",1–5 hours,"Managing time, developing a study schedule, determining how much effort to put into different things, balancing work",Good grades on my tests so far
Commute to RIC,"Yes, off campus",Somewhat uncertain,Slightly heavier,Neutral,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,commuting in the mornings. ,completing and excelling at essays in my courses. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,"Lonely;
Overwhelmed by coursework",no,1–5 hours,"forgetting about thinkgs, and finding the time to study ",i've done well on all my exams and quizes ive had so far
Commute to RIC,"Yes, off campus",Neutral/Unsure,Much heavier,Neutral,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Neutral,Neutral,I have made some friends and connections.,Well,I feel neutral.,16–20,Overwhelmed by coursework,Being better with getting work done and understanding and time management,1–5 hours,Time management,Getting help with work and time management.
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel neutral.,16–20,Overwhelmed by coursework,To meet with my consoler ,1–5 hours,Time management with school and trying my best to stay organized ,Ive been staying on top of my school year. 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No,1–5 hours,understanding all content and studying/preparing for exams,submitting assignments on time and keeping up with the workload
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Very well,I feel somewhat connected.,16–20,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,My biggest challenge has been finding a good balance in all of the things in my life.,My biggest success has been staying on top of my assignments and studying.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,16–20,Lonely,no,1–5 hours,Making sure to do my assignments ahead of time so it doesn't all build up for one day.,My biggest success was getting a 94 on a math test that I felt not particularly prepared for yet did well. 
Commute to RIC,"Yes, both on and off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Neutral,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,,1–5 hours,Math quiz,"Keeping up with my homework, job, and business."
Living on Campus,"Yes, off campus",Certain,About the same,Strongly agree,true,Other,Neutral,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no,1–5 hours,Ive been extremely sick From the 1st week I got here and that has been a huge struggle ,My biggest success In the first six weeks at RIC has been my organization and preparation for work
Living on Campus,"Yes, off campus",Very certain,Much lighter,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,21+,Overwhelmed by coursework,Making a football team or powerlifting club ,1–5 hours,Managing time ,Trying 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,21+,Overwhelmed by non-academic responsibilities,No,1–5 hours,Studying.,Studying on quizlet
Commute to RIC,"Yes, off campus",Somewhat uncertain,Slightly lighter,Neutral,true,"Athletics (varsity, club, intramural)",Somewhat confident,Not very confident,I am struggling to make friends or connections.,Neutral,I feel neutral.,21+,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not sure,1–5 hours,Motivating myself to go to class everyday,Showing up to class everyday
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,true,Religious/spiritual groups,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,Overwhelmed by coursework,no,1–5 hours,Having time to do other things like going to the gym or personal stuff ,Passing my exams.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Not very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,Overwhelmed by coursework,,1–5 hours,Doing my homework,Do my homework
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,"Religious/spiritual groups;
Attended a Campus Event",Very confident,Not at all confident,I have made some friends and connections.,Very well,I feel neutral.,21+,Overwhelmed by non-academic responsibilities,,1–5 hours,nothing really,idk
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,"Campus publications;
Attended a Campus Event",Very confident,Neutral,I have made some friends and connections.,Well,I feel neutral.,21+,Overwhelmed by coursework,,1–5 hours,My class of history which is difficult.,Having good grades in all classes.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Not very confident,Not very confident,I am struggling to make friends or connections.,Neutral,I feel somewhat connected.,21+,"Lonely;
Overwhelmed by coursework",an email full of places and people for resources around campus,1–5 hours,"My biggest challenge is finding the right materials or ideas to study , where to go for advice on clubs and etc ",My biggest success have been staying on track and not falling into a depressive state. 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,21+,Homesick,Probably go to touring for math.,1–5 hours,Probably my math course understanding.,I did a scavenger hunt in my Business class and I attended  a major and minors fair which helped me a lot. 
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Neutral,true,Other,Not very confident,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,21+,Overwhelmed by coursework,Not really,1–5 hours,Biggest challenge has been handling work and school.,My biggest successes so far is passing both of my exams so far.
Living on Campus,"Yes, off campus",Neutral/Unsure,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,Keeping up with all the homework and due dates. ,Figuring out my classes and meeting new people. 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,21+,Overwhelmed by non-academic responsibilities,No,1–5 hours,Balancing my 3 English classes ,Time Management skills
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,1–5 hours,Some of the teachers don't seem like their trying to help much.,Being able to balance my time between work and school well. I have a good schedule and study basically the same time everynight.
Commute to RIC,"Yes, off campus",Neutral/Unsure,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,21+,Overwhelmed by coursework,"I mean, I feel like it all falls on me to get it together, because the only thing I don't like is the amount of homework given to me. But its college so i cant be complaining.",1–5 hours,The biggest challenge that I am struggling with is making time to have some homework time.,The biggest success that I have been having so far is waking up at a good time and coming to class on time. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,21+,Overwhelmed by coursework,,1–5 hours,"Keeping up with all the work and balancing my school, work, and home life.",Learning strategies to help with my challenges.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,6–10,Overwhelmed by non-academic responsibilities,in this time i feel really good with my classes and i think that PEP and ESL classes are a good way to improve during my time in the campus. ,1–5 hours,"Readings are kind of difficult for me; I am a bilingual student, and I know that this is a process that could improve over time. I feel that I have a good level, but while I was in high school, I didn't have enough readings to get comfortable, I am getting more comfortable while I am doing it often.","I have learned more about how to manage my time during this semester. While I worked and studied at the same time, I had some trouble with my time management, but once I started to use a calendar, I could do better. "
Living on Campus,"Yes, off campus",Certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,6–10,Homesick,No ,1–5 hours,Trying to be organized and going to bed early ,Meeting a bunch of new friends 
Living on Campus,"Yes, on campus",Very certain,About the same,Strongly agree,true,"Attended a Campus Event;
Other",Very confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,6–10,Overwhelmed by coursework,no,1–5 hours,Understanding my schedule,Getting into the rhythm of college
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel a strong sense of belonging.,6–10,Overwhelmed by coursework,no,1–5 hours,My chem class,Improving on my chem class
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,Finding time to study. ,Completing work on time. 
Living on Campus,"Yes, off campus",Neutral/Unsure,Slightly lighter,Neutral,true,"Athletics (varsity, club, intramural);
Honor societies or academic clubs;
Attended a Campus Event;
Other",Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,6–10,"Lonely;
Overwhelmed by coursework",I need to know how to get in touch with a tutor. ,1–5 hours,The work-school- social balance. ,I have been getting extra points on assignments for amazing detail. I have decided to join a new sport and met new friends during it. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Very well,I feel neutral.,6–10,Overwhelmed by non-academic responsibilities,No.,1–5 hours,My biggest challenge so far is making friends.,My biggest success during the first six weeks I have been here is handling everything well and having enough time for everything I have to do. 
Living on Campus,No,Neutral/Unsure,About the same,Strongly agree,true,"Athletics (varsity, club, intramural)",Neutral,Neutral,I have made some friends and connections.,Very well,I feel neutral.,6–10,Homesick,no,1–5 hours,going to all my classes,Coming to my classes
Living on Campus,"Yes, off campus",Very certain,Much lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,"Lonely;
Overwhelmed by coursework",,1–5 hours,"Being able to focus, i procrastinate a lot still, but always get the work done",Being able to complete all work on time 
Living on Campus,"Yes, both on and off campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,6–10,"Homesick;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",N/A,1–5 hours,Adjusting to a new schedule and navigating blackboard. ,"Utilizing my time and resources well. Ex: Using Adam's Library to study, getting schoolwork and chores done between/before/after classes."
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,"Honor societies or academic clubs;
Attended a Campus Event",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,6–10,Overwhelmed by non-academic responsibilities,"Other than some work on my time management skills, I don't feel as though anything would help me feel more successful at RIC right now.",1–5 hours,"I think my biggest challenge during the first six weeks of classes has been managing my relationship with my parents / family, now that I am more independent and wish to maintain more privacy.",I think my biggest success has been keeping up with my schoolwork and emailing my teachers when I know I will struggle to meet certain deadlines.
Living on Campus,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,6–10,Overwhelmed by coursework,No,1–5 hours,Doing work outside of class,Doing work in class
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel somewhat connected.,6–10,Overwhelmed by coursework,,1–5 hours,My math course and feeling behind ,Finding my place at RIC and adjusting to life at college 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Neutral,Neutral,I am struggling to make friends or connections.,Well,I feel somewhat connected.,6–10,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No,1–5 hours,My biggest challenge during the first six weeks has been finding the best study methods so that I can be successful in every exam.,"My biggest success during the first six weeks was getting a 75.5% on my first A&P exam, and an 81% on my first A&P Lab exam."
Living on Campus,"Yes, on campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Not very confident,I am struggling to make friends or connections.,Well,I feel somewhat connected.,6–10,Lonely,N/A,1–5 hours,making friends,I feel that my biggest success is my organization
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,Lonely,,1–5 hours,Being more social and creating new connections,Being able to balance all my commitments
Living on Campus,"Yes, off campus",Certain,About the same,Neutral,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,"Lonely;
Overwhelmed by coursework",,1–5 hours,Study methods ,Being able to finish my chemistry labs alone. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,Overwhelmed by coursework,"No, everything is okay so far ",1–5 hours,The biggest challenge sometimes is understanding what I am doing and having piles of assignments sometimes due at the same time. ,My biggest success would be arriving to my classes on time and making a organization system so I can keep track of my work.
Living on Campus,"Yes, off campus",Very certain,About the same,Agree,false,"Student Government;
Attended a Campus Event;
Other",Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by coursework,,1–5 hours,"My biggest challenge is being able to find enough hours in the day to study adequately for all my classes. I feel that no matter how much hours I put in, I'm unable to complete all the work.",I have been able to adjust to college life and build friendships.
Commute to RIC,"Yes, on campus",Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural)",Neutral,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,Overwhelmed by coursework,,1–5 hours,time managment,My biggest success was going to the internship fair and gett
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","Nothing that anyone but myself can do, all personal problems that I can overcome.",1–5 hours,"Being motivated to show up to class, waking up early, or just the motivation to even drive to school.",staying on top of my work and not procrastinating. Studying as much as possible for my exams to make sure I pass. Its been successful so far.
Living on Campus,No,Certain,About the same,Strongly agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by non-academic responsibilities,no.,11–15 hours,Studying for exams,Getting all my work done
Living on Campus,No,Neutral/Unsure,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Very confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No. ,11–15 hours,Making sure I am fully prepared and ready for the test and exams. ,Using the resources that are available to me 
Commute to RIC,No,Very certain,Much lighter,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made some friends and connections.,Very well,I feel somewhat connected.,,Lonely,,11–15 hours,I have not had any big challenges during the first six weeks ,I am able to keep up with all my work
Living on Campus,No,Certain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Homesick;
Overwhelmed by non-academic responsibilities",,11–15 hours,"getting into a new routine with sports practice, class, and study hall, while trying to make time for my friends and myself",getting comfortable with my new lifestyle so quickly 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,11–15 hours,Managing workload,Making the golf team
Living on Campus,No,Very certain,About the same,Strongly agree,true,"Athletics (varsity, club, intramural)",Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,Homesick,,16+ hours,Time management,Getting to all my classes on time and going to all of them.
Living on Campus,No,Certain,Much heavier,Neutral,false,"Athletics (varsity, club, intramural)",Neutral,Neutral,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,,Overwhelmed by coursework,no,16+ hours,school work,baseball
Living on Campus,No,Certain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Homesick;
Overwhelmed by non-academic responsibilities",,16+ hours,Managing my time,Passing all my first exams. 
Living on Campus,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,no,16+ hours,My biggest challenge has been trying to find the best study techniques.,my biggest success during the first 6-weeks is using my resources such as learning for life tutoring.
Living on Campus,"Yes, off campus",Neutral/Unsure,About the same,Strongly disagree,true,Other,Not at all confident,Very confident,"I have made a few friends, but not strong connections yet.",Poorly,I feel very disconnected.,11–15,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",not living on campus,16+ hours,idk,idk
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,Other,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,16–20,Overwhelmed by coursework,making more connections with people and getting the help I need if I need it,16+ hours,Checking my emails daily,Showing up to class on time and being prepared
Living on Campus,No,Very certain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,,Homesick,,6–10 hours,Staying consistent with my sleeping schedule and class schedule.,During the first six weeks I've stayed on task with my work and class.
Commute to RIC,No,Certain,About the same,Agree,false,"Community service or volunteer work;
Vocational/professional clubs;
Attended a Campus Event",Somewhat confident,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,6–10 hours,staying up to date on my work the way I wanted to,Becoming Treasurer of an organization on campus
Commute to RIC,No,Very certain,Much heavier,Agree,false,"Performing arts (band, chorus, theatre);
Honor societies or academic clubs;
Campus publications;
Attended a Campus Event",Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Not well,I feel somewhat connected.,,"Lonely;
Overwhelmed by coursework",Patience. I'm still adjusting here.,6–10 hours,Time management. I often procrastinate on strict deadlines and put myself in corners I struggle to get out of.,Submitting quality writings and getting good grades for them.
Commute to RIC,No,Very certain,Slightly lighter,Strongly agree,true,"Athletics (varsity, club, intramural);
Community service or volunteer work;
Attended a Campus Event",Very confident,Very confident,I have made some friends and connections.,Very well,I feel somewhat connected.,,"Lonely;
Overwhelmed by non-academic responsibilities",No. I feel as though I've gotten help setting up all the tools and necessities I need to be a successful student at RIC.,6–10 hours,"Managing my time. After the first couple weeks, I have created a certain schedule for myself where I make time for school, practice, homework, as well as any extra curricular activities that peak my interest. ",Having to go into study hall and do a certain amount of hours. It has helped me stay on top of all my work and actually get ahead in some of my classes. I know not everybody has it but I do think they should. 
Commute to RIC,No,Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel a strong sense of belonging.,1–5,Homesick,,6–10 hours,Talk to new people and  make new friends ,Attending all my classes on time and finished the work 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,1–5,Overwhelmed by non-academic responsibilities,,6–10 hours,Getting up to drive to school. Don't rlly want to leave my house. Still do it though.,Straight A's
Commute to RIC,"Yes, off campus",Very certain,Much lighter,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Neutral,I feel neutral.,1–5,"Homesick;
Overwhelmed by coursework",,6–10 hours,My biggest challenge during the first six weeks being comfortable around others I don't know and not being organized.,"My biggest success during the first six weeks is dedication on getting myself prepared for the real world. I believe into the greatest outcome and I won't hold back on getting my work done, negativity doesn't define who I am. "
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Strongly agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,,6–10 hours,Handling stress with tests and balancing time to complete homework. ,Keeping up with my grades and getting all assignments in on time. 
Commute to RIC,"Yes, off campus",Somewhat uncertain,Much heavier,Disagree,true,Other,Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,11–15,"Lonely;
Overwhelmed by coursework",N/a,6–10 hours,Nothing ,I have bin submitting all my assignments on time 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Neutral,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,6–10 hours,My biggest challenge has been finding the most helpful ways to study for my assignments and exams.,My biggest success during my first six weeks at RIC has been making the women's lacrosse team.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Very confident,I have made some friends and connections.,Neutral,I feel neutral.,16–20,"Homesick;
Lonely",no ,6–10 hours,"arrive early 
","learn more english
Adapt to Classes
"
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Other,Somewhat confident,Neutral,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,6–10 hours,technology,Using notion to keep track of homework
Commute to RIC,"Yes, both on and off campus",Neutral/Unsure,About the same,Neutral,true,"Athletics (varsity, club, intramural);
Community service or volunteer work;
Honor societies or academic clubs;
Attended a Campus Event",Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,21+,Overwhelmed by non-academic responsibilities,nope,6–10 hours,math 120,I got a 80 on an exam
Living on Campus,"Yes, off campus",Neutral/Unsure,Slightly heavier,Neutral,true,"Athletics (varsity, club, intramural)",Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,6–10,Overwhelmed by coursework,None that I am aware of ,6–10 hours,Making sure to get all assignments completed ,Getting to class on time
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Agree,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,6–10,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",No,6–10 hours,Working and going to school in the same day.,Getting all my assignments and assessments done in time. 
Commute to RIC,"Yes, on campus",Very certain,Slightly lighter,Agree,true,"Athletics (varsity, club, intramural);
Attended a Campus Event",Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,6–10,Overwhelmed by non-academic responsibilities,"I feel that at the pace I'm going with right now, I should be good. ",6–10 hours,"My biggest challenge was trying to manage school, sports, dance, work, and my personal life. ",I haven't procrastinated and have gotten all of my work at least 3-5 days done before they are due. 
Living on Campus,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,6–10,"Homesick;
Overwhelmed by coursework",,6–10 hours,adjusting to new things,settling in
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,6–10,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Nope :),6–10 hours,My biggest challenge has been studying enough and effectively. ,My biggest success has been doing better than I thought on my first few exams.
